090430032U-4B,4BIS,Avenue Foncirgue,09600,La Bastide-sur-l'Hers,OSM,42.954773,1.908391
090490042D-125,125,Route de Garbet,09000,Bénac,CAD,42.954500,1.521951
090490042D-126,126,Route de Garbet,09000,Bénac,CAD,42.954851,1.521944
090750151J-17,17,Boulevard de la Mairie,09350,Campagne-sur-Arize,OSM,43.127153,1.337612
090990010B-10,10,Place de la Bascule,09000,Cos,CAD,42.979289,1.569819
090990010B-1,1,Place de la Bascule,09000,Cos,CAD,42.978988,1.569838
090990010B-4,4,Place de la Bascule,09000,Cos,CAD,42.979400,1.569600
090990010B-6,6,Place de la Bascule,09000,Cos,CAD,42.979478,1.569669
090990020M-2,2,Chemin de Goudié,09000,Cos,CAD,42.980197,1.570007
090990020M-2B,2BIS,Chemin de Goudié,09000,Cos,CAD,42.981242,1.568690
090990020M-4,4,Chemin de Goudié,09000,Cos,CAD,42.983292,1.569226
090990020M-5,5,Chemin de Goudié,09000,Cos,CAD,42.982615,1.568430
090990020M-5B,5BIS,Chemin de Goudié,09000,Cos,CAD,42.982757,1.568175
090990020M-6,6,Chemin de Goudié,09000,Cos,CAD,42.983551,1.569377
090990020M-7,7,Chemin de Goudié,09000,Cos,CAD,42.983477,1.569153
090990020M-9,9,Chemin de Goudié,09000,Cos,CAD,42.983508,1.568345
090990030Y-2,2,Chemin de Labado,09000,Cos,CAD,42.979871,1.568669
090990030Y-4,4,Chemin de Labado,09000,Cos,CAD,42.980080,1.568212
090990050V-10,10,Avenue de la Mairie,09000,Cos,CAD,42.976622,1.569604
090990050V-1,1,Avenue de la Mairie,09000,Cos,CAD,42.979048,1.570075
090990050V-13,13,Avenue de la Mairie,09000,Cos,CAD,42.977493,1.570403
090990050V-15,15,Avenue de la Mairie,09000,Cos,CAD,42.976807,1.569819
090990050V-2,2,Avenue de la Mairie,09000,Cos,CAD,42.978834,1.569587
090990050V-3,3,Avenue de la Mairie,09000,Cos,CAD,42.978803,1.570140
090990050V-4,4,Avenue de la Mairie,09000,Cos,CAD,42.978760,1.569252
090990050V-5,5,Avenue de la Mairie,09000,Cos,CAD,42.978594,1.569816
090990050V-6,6,Avenue de la Mairie,09000,Cos,CAD,42.978456,1.569089
090990050V-7,7,Avenue de la Mairie,09000,Cos,CAD,42.978133,1.570716
090990050V-7B,7BIS,Avenue de la Mairie,09000,Cos,CAD,42.978011,1.570068
